Representative,State,District,Phone,Room,,
"Plaskett, Stacey E.",VI,Delegat,225-1790,331,,
"Pocan, Mark",WI,2d,225-2906,1421,,
"Poe, Ted",TX,2d,225-6565,2132,,
"Poliquin, Bruce",ME,2d,225-6306,1208,,
"Polis, Jared",CO,2d,225-2161,1727,,
"[Pompeo, Mike]",KS,4th,225-6216,2452,,
"Posey, Bill",FL,8th,225-3671,2150,,
"Price, David E.",NC,4th,225-1784,2108,,
"[Price, Tom]",GA,6th,225-4501,1211,,
"Quigley, Mike",IL,5th,225-4061,2458,,
"Radewagen, Aumua Amata Coleman",AS,Delegat,225-8577,1339,,
"Raskin, Jamie",MD,8th,225-5341,431,,
"Ratcliffe, John",TX,4th,225-6673,325,,
"Reed, Tom",NY,23d,225-3161,2437,,
"Reichert, David G.",WA,8th,225-7761,1127,,
"Renacci, James B.",OH,16th,225-3876,328,,
"Rice, Kathleen M.",NY,4th,225-5516,1508,,
"Rice, Tom",SC,7th,225-9895,223,,
"Richmond, Cedric L.",LA,2d,225-6636,420,,
"Roby, Martha",AL,2d,225-2901,442,,
"Roe, David P.",TN,1st,225-6356,336,,
"Rogers, Harold",KY,5th,225-4601,2406,,
"Rogers, Mike",AL,3d,225-3261,2184,,
"Rohrabacher, Dana",CA,48th,225-2415,2300,,
"Rokita, Todd",IN,4th,225-5037,2439,,
"Rooney, Francis",FL,19th,225-2536,120,,
"Rooney, Thomas J.",FL,17th,225-5792,2160,,
"Rosen, Jacky",NV,3d,225-3252,413,,
"Roskam, Peter J.",IL,6th,225-4561,2246,,
"Ros-Lehtinen, Ileana",FL,27th,225-3931,2206,,
"Ross, Dennis A.",FL,15th,225-1252,436,,
"Rothfus, Keith J.",PA,12th,225-2065,1205,,
"Rouzer, David",NC,7th,225-2731,424,,
"Roybal-Allard, Lucille",CA,40th,225-1766,2083,,
"Royce, Edward R.",CA,39th,225-4111,2310,,
"Ruiz, Raul",CA,36th,225-5330,1319,,
"Ruppersberger, C. A. Dutch",MD,2d,225-3061,2416,,
"Rush, Bobby L.",IL,1st,225-4372,2188,,
