1,STATE,STATE ABBREVIATION,D,FEC ID#,INCUMBENT INDICATOR (I),CANDIDATE NAME (First),CANDIDATE NAME (Last),"CANDIDATE NAME (Last, First)",TOTAL VOTES,PARTY,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL VOTES,GENERAL %,"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",FOOTNOTES,,,
151,Arizona,AZ,02,n/a,,,,,Party Votes:,D,"32,503",,,,,,,,,,,
152,Arizona,AZ,02,H4AZ02119,,Powell,Gammill,"Gammill, Powell",,LIB,318,100.00%,,,"10,820",4.05%,,,,,,
153,Arizona,AZ,02,n/a,,,,,Party Votes:,LIB,318,,,,,,,,,,,
154,Arizona,AZ,02,H6AZ00027,,Crum ,William,"William, Crum ",,W,,,,,8,0.00%,,,,,,
155,Arizona,AZ,02,n/a,,Mark,Rankin,"Rankin, Mark",,W,,,,,2,0.00%,,,,,,
156,Arizona,AZ,02,n/a,,,,,District Votes:,,"133,293",,,,"266,894",,,,,,,
157,Arizona,AZ,,n/a,,,,,,,,,,,,,,,,,,
158,Arizona,AZ,03,H0AZ03362,,Ben,Quayle,"Quayle, Ben",,R,"17,400",22.05%,,,"108,689",52.24%,,,,,,
159,Arizona,AZ,03,H0AZ03396,,Steve,Moak,"Moak, Steve",,R,"14,211",18.01%,,,,,,,,,,
160,Arizona,AZ,03,H0AZ03313,,Jim,Waring,"Waring, Jim",,R,"13,850",17.55%,,,,,,,,,,
161,Arizona,AZ,03,H0AZ03321,,Vernon B.,Parker,"Parker, Vernon B.",,R,"13,411",17.00%,,,,,,,,,,
162,Arizona,AZ,03,H0AZ03339,,Pamela,Gorman,"Gorman, Pamela",,R,"6,473",8.20%,,,,,,,,,,
163,Arizona,AZ,03,H0AZ03354,,Paulina,Morris,"Morris, Paulina",,R,"6,138",7.78%,,,,,,,,,,
164,Arizona,AZ,03,H0AZ03347,,Sam,Crump,"Crump, Sam",,R,"3,886",4.92%,,,,,,,,,,
165,Arizona,AZ,03,H8AZ03126,,Ed,Winkler,"Winkler, Ed",,R,"1,353",1.71%,,,,,,,,,,
166,Arizona,AZ,03,H0AZ03388,,Bob,Branch,"Branch, Bob",,R,"1,141",1.45%,,,,,,,,,,
167,Arizona,AZ,03,H0AZ03370,,Leann,Hull,"Hull, Leann",,R,"1,044",1.32%,,,,,,,,,,
168,Arizona,AZ,03,n/a,,,,,Party Votes:,R,"78,907",,,,,,,,,,,
169,Arizona,AZ,03,H0AZ03305,,Jon,Hulburd,"Hulburd, Jon",,D,"27,388",100.00%,,,"85,610",41.14%,,,,,,
170,Arizona,AZ,03,n/a,,,,,Party Votes:,D,"27,388",,,,,,,,,,,
171,Arizona,AZ,03,H8AZ03134,,Michael,Shoen,"Shoen, Michael",,LIB,392,99.75%,,,"10,478",5.04%,,,,,,
172,Arizona,AZ,03,H0AZ03446 ,,Clay,Adair,"Adair, Clay",,W(LIB),1,0.25%,,,,,,,,,,
173,Arizona,AZ,03,n/a,,,,,Party Votes:,LIB,393,,,,,,,,,,,
174,Arizona,AZ,03,H0AZ03438,,Leonard ,Clark,"Clark, Leonard ",,W(GRE)/GRE,5,100.00%,,,"3,294",1.58%,,,,,,
175,Arizona,AZ,03,n/a,,,,,Party Votes:,GRE,5,,,,,,,,,,,
176,Arizona,AZ,03,n/a,,,,,District Votes:,,"106,693",,,,"208,071",,,,,,,
177,Arizona,AZ,,n/a,,,,,,,,,,,,,,,,,,
178,Arizona,AZ,04,H2AZ02055,(I),Ed,Pastor,"Pastor, Ed",,D,"24,613",100.00%,,,"61,524",66.94%,,,,,,
179,Arizona,AZ,04,n/a,,,,,Party Votes:,D,"24,613",,,,,,,,,,,
180,Arizona,AZ,04,H0AZ04493,,Janet,Contreras,"Contreras, Janet",,R,"8,085",60.10%,,,"25,300",27.53%,,,,,,
181,Arizona,AZ,04,H0AZ04501,,Joe,Penalosa,"Penalosa, Joe",,R,"5,368",39.90%,,,,,,,,,,
182,Arizona,AZ,04,n/a,,,,,Party Votes:,R,"13,453",,,,,,,,,,,
183,Arizona,AZ,04,H8AZ04124,,Joe,Cobb,"Cobb, Joe",,LIB,219,100.00%,,,"2,718",2.96%,,,,,,
184,Arizona,AZ,04,n/a,,,,,Party Votes:,LIB,219,,,,,,,,,,,
185,Arizona,AZ,04,H8AZ04116,,Rebecca,Dewitt,"Dewitt, Rebecca",,GRE,148,100.00%,,,"2,365",2.57%,,,,,,
186,Arizona,AZ,04,n/a,,,,,Party Votes:,GRE,148,,,,,,,,,,,
187,Arizona,AZ,04,n/a,,,,,District Votes:,,"38,433",,,,"91,907",,,,,,,
188,Arizona,AZ,,n/a,,,,,,,,,,,,,,,,,,
189,Arizona,AZ,05,H4AZ06045,,David,Schweikert,"Schweikert, David",,R,"26,678",37.23%,,,"110,374",52.00%,,,,,,
190,Arizona,AZ,05,H0AZ05078,,Jim,Ward,"Ward, Jim",,R,"18,480",25.79%,,,,,,,,,,
191,Arizona,AZ,05,H4AZ01061,,Susan,Bitter Smith,"Bitter Smith, Susan",,R,"17,297",24.14%,,,,,,,,,,
192,Arizona,AZ,05,H0AZ05102,,Chris,Salvino,"Salvino, Chris",,R,"7,156",9.99%,,,,,,,,,,
193,Arizona,AZ,05,H8AZ05121,,Lee,Gentry,"Gentry, Lee",,R,"1,157",1.61%,,,,,,,,,,
194,Arizona,AZ,05,H0AZ05110,,Mark,Spinks,"Spinks, Mark",,R,884,1.23%,,,,,,,,,,
195,Arizona,AZ,05,n/a,,,,,Party Votes:,R,"71,652",,,,,,,,,,,
196,Arizona,AZ,05,H6AZ05067,(I),Harry,Mitchell,"Mitchell, Harry",,D,"29,716",100.00%,,,"91,749",43.23%,,,,,,
197,Arizona,AZ,05,n/a,,,,,Party Votes:,D,"29,716",,,,,,,,,,,
198,Arizona,AZ,05,H0AZ05136,,Nick,Coons,"Coons, Nick",,LIB,306,100.00%,,,"10,127",4.77%,,,,,,
199,Arizona,AZ,05,n/a,,,,,Party Votes:,LIB,306,,,,,,,,,,,
200,Arizona,AZ,05,H0AZ05144 ,,Ryan ,Blackman,"Blackman, Ryan ",,W(GRE),4,100.00%,,,,,,,,,,
201,Arizona,AZ,05,n/a,,,,,Party Votes:,GRE,4,,,,,,,,,,,
202,Arizona,AZ,05,n/a,,,,,District Votes:,,"101,678",,,,"212,250",,,,,,,
203,Arizona,AZ,,n/a,,,,,,,,,,,,,,,,,,
204,Arizona,AZ,06,H0AZ01184,(I),Jeff,Flake,"Flake, Jeff",,R,"62,285",64.60%,,,"165,649",66.42%,,,,,,
205,Arizona,AZ,06,H0AZ05094,,Jeff,Smith,"Smith, Jeff",,R,"34,137",35.40%,,,,,,,,,,
206,Arizona,AZ,06,n/a,,,,,Party Votes:,R,"96,422",,,,,,,,,,,
207,Arizona,AZ,06,H8AZ06053,,Rebecca,Schneider,"Schneider, Rebecca",,D,"26,220",100.00%,,,"72,615",29.12%,,,,,,
208,Arizona,AZ,06,n/a,,,,,Party Votes:,D,26220,,,,,,,,,,,
209,Arizona,AZ,06,H0AZ06050,,Darell,Tapp,"Tapp, Darell",,W(LIB)/LIB,28,100.00%,,,"7,712",3.09%,,,,,,
210,Arizona,AZ,06,n/a,,,,,Party Votes:,LIB,28,,,,,,,,,,,
211,Arizona,AZ,06,H8AZ06012,,Richard,Grayson,"Grayson, Richard",,W(GRE)/GRE,6,100.00%,,,"3,407",1.37%,,,,,,
212,Arizona,AZ,06,n/a,,,,,Party Votes:,GRE,6,,,,,,,,,,,
213,Arizona,AZ,06,n/a,,,,,District Votes:,,"122,676",,,,"249,383",,,,,,,
214,Arizona,AZ,,n/a,,,,,,,,,,,,,,,,,,
215,Arizona,AZ,07,H2AZ07070,(I),Raúl M.,Grijalva,"Grijalva, Raúl M.",,D,"33,931",100.00%,,,"79,935",50.23%,,,,,,
216,Arizona,AZ,07,n/a,,,,,Party Votes:,D,"33,931",,,,,,,,,,,
217,Arizona,AZ,07,H0AZ07017,,Ruth,McClung,"McClung, Ruth",,R,"15,455",50.95%,,,"70,385",44.23%,,,,,,
218,Arizona,AZ,07,H0AZ07025,,Terry,Myers,"Myers, Terry",,R,"7,044",23.22%,,,,,,,,,,
219,Arizona,AZ,07,H0AZ07041,,Joseph,Sweeney,"Sweeney, Joseph",,R,"3,702",12.20%,,,,,,,,,,
220,Arizona,AZ,07,H0AZ07058,,Robert,Wilson,"Wilson, Robert",,R,"2,737",9.02%,,,,,,,,,,
221,Arizona,AZ,07,H0AZ07033,,Christopher J.,Flowers,"Flowers, Christopher J.",,R,"1,394",4.60%,,,,,,,,,,
222,Arizona,AZ,07,n/a,,,,,Party Votes:,R,"30,332",,,,,,,,,,,
223,Arizona,AZ,07,H0AZ07025,,Harley,Myer,"Myer, Harley",,IND,,,,,"4,506",2.83%,,,,,,
224,Arizona,AZ,07,H0AZ07074,,George,Keane,"Keane, George",,LIB,159,56.79%,,,"4,318",2.71%,,,,,,
225,Arizona,AZ,07,H0AZ07066,,Andrew,Ibarra,"Ibarra, Andrew",,LIB,121,43.21%,,,,,,,,,,
226,Arizona,AZ,07,n/a,,,,,Party Votes:,LIB,280,,,,,,,,,,,
227,Arizona,AZ,07,n/a,,,,,District Votes:,,"64,543",,,,"159,144",,,,,,,
228,Arizona,AZ,,n/a,,,,,,,,,,,,,,,,,,
229,Arizona,AZ,08,H6AZ08038,(I),Gabrielle,Giffords,"Giffords, Gabrielle",,D,"55,530",100.00%,,,"138,280",48.76%,,,,,,
230,Arizona,AZ,08,n/a,,,,,Party Votes:,D,"55,530",,,,,,,,,,,
