1,STATE,STATE ABBREVIATION,D,FEC ID#,INCUMBENT INDICATOR (I),CANDIDATE NAME (First),CANDIDATE NAME (Last),"CANDIDATE NAME (Last, First)",TOTAL VOTES,PARTY,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL VOTES,GENERAL %,"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",FOOTNOTES,,,
4275,South Carolina,SC,01,H0SC01261,,Larry,Kobrovsky,"Kobrovsky, Larry",,R,"8,521",10.54%,,,,,,,,,,
4276,South Carolina,SC,01,H0SC01246,,Stovall,Witte,"Witte, Stovall",,R,"7,192",8.90%,,,,,,,,,,
4277,South Carolina,SC,01,H0SC01295,,Clark B.,Parker,"Parker, Clark B.",,R,"6,769",8.37%,,,,,,,,,,
4278,South Carolina,SC,01,H8SC01082,,Katherine,Jenerette,"Jenerette, Katherine",,R,"3,849",4.76%,,,,,,,,,,
4279,South Carolina,SC,01,H0SC01287,,Mark,Lutz,"Lutz, Mark",,R,"3,237",4.00%,,,,,,,,,,
4280,South Carolina,SC,01,H0SC01311,,Ken,Glasson,"Glasson, Ken",,R,"1,006",1.24%,,,,,,,,,,
4281,South Carolina,SC,01,n/a,,,,,Party Votes:,R,"80,845",,"68,788",,,,,,,,,
4282,South Carolina,SC,01,H6SC01136,,Ben,Frasier,"Frasier, Ben",,D,"10,566",55.70%,,,"67,008",28.67%,,,,,,
4283,South Carolina,SC,01,H0SC01212,,Robert D.,Burton,"Burton, Robert D.",,D,"8,402",44.30%,,,,,,,,,,
4284,South Carolina,SC,01,n/a,,,,,Party Votes:,D,"18,968",,,,,,,,,,,
4285,South Carolina,SC,01,H0SC01345,,Rob,Groce,"Groce, Rob",,WF,*,,,,"4,148",1.77%,,,"* The United Citizens Party nominated by convention on March 20, 2010, the Libertarian Party nominated by convention on April 17, 2010, and the Green Party nominated by convention on May 1, 2010.  The  Constitution, Independence, and Working Families parties nominated by convention on May 15, 2010.  Convention nominees are noted with an asterisk.",,,
4286,South Carolina,SC,01,H0SC01196,,Robert,Dobbs,"Dobbs, Robert",,GRE,*,,,,"3,369",1.44%,,,"* The United Citizens Party nominated by convention on March 20, 2010, the Libertarian Party nominated by convention on April 17, 2010, and the Green Party nominated by convention on May 1, 2010.  The  Constitution, Independence, and Working Families parties nominated by convention on May 15, 2010.  Convention nominees are noted with an asterisk.",,,
4287,South Carolina,SC,01,H0SC01352,,Keith,Blandford,"Blandford, Keith",,LIB,*,,,,"2,750",1.18%,,,"* The United Citizens Party nominated by convention on March 20, 2010, the Libertarian Party nominated by convention on April 17, 2010, and the Green Party nominated by convention on May 1, 2010.  The  Constitution, Independence, and Working Families parties nominated by convention on May 15, 2010.  Convention nominees are noted with an asterisk.",,,
4288,South Carolina,SC,01,H0SC01337,,Jimmy,Wood,"Wood, Jimmy",,IDP,*,,,,"2,489",1.07%,,,"* The United Citizens Party nominated by convention on March 20, 2010, the Libertarian Party nominated by convention on April 17, 2010, and the Green Party nominated by convention on May 1, 2010.  The  Constitution, Independence, and Working Families parties nominated by convention on May 15, 2010.  Convention nominees are noted with an asterisk.",,,
4289,South Carolina,SC,01,H0SC01329,,M. E. Mac,McCullough,"McCullough, M. E. Mac",,UC,*,,,,"1,013",0.43%,,,"* The United Citizens Party nominated by convention on March 20, 2010, the Libertarian Party nominated by convention on April 17, 2010, and the Green Party nominated by convention on May 1, 2010.  The  Constitution, Independence, and Working Families parties nominated by convention on May 15, 2010.  Convention nominees are noted with an asterisk.",,,
4290,South Carolina,SC,01,n/a,,,Scattered,Scattered,,W,,,,,163,0.07%,,,,,,
4291,South Carolina,SC,01,n/a,,,,,District Votes:,,"99,813",,"68,788",,"233,695",,,,,,,
4292,South Carolina,SC,,n/a,,,,,,,,,,,,,,,,,,
4293,South Carolina,SC,02,H2SC02059,(I),Joe,Wilson,"Wilson, Joe",,R,"64,973",83.41%,,,"138,861",53.48%,,,,,,
4294,South Carolina,SC,02,H8SC02098,,Phil,Black,"Black, Phil",,R,"12,923",16.59%,,,,,,,,,,
4295,South Carolina,SC,02,n/a,,,,,Party Votes:,R,"77,896",,,,,,,,,,,
4296,South Carolina,SC,02,H8SC02080,,Rob,Miller,"Miller, Rob",,D,Unopposed,,,,"113,625",43.76%,,,,,,
4297,South Carolina,SC,02,H0SC02053,,Eddie,McCain,"McCain, Eddie",,LIB,*,,,,"4,228",1.63%,,,"* The United Citizens Party nominated by convention on March 20, 2010, the Libertarian Party nominated by convention on April 17, 2010, and the Green Party nominated by convention on May 1, 2010.  The  Constitution, Independence, and Working Families parties nominated by convention on May 15, 2010.  Convention nominees are noted with an asterisk.",,,
4298,South Carolina,SC,02,H0SC02046,,Marc,Beaman,"Beaman, Marc",,CON,*,,,,"2,856",1.10%,,,"* The United Citizens Party nominated by convention on March 20, 2010, the Libertarian Party nominated by convention on April 17, 2010, and the Green Party nominated by convention on May 1, 2010.  The  Constitution, Independence, and Working Families parties nominated by convention on May 15, 2010.  Convention nominees are noted with an asterisk.",,,
4299,South Carolina,SC,02,n/a,,,Scattered,Scattered,,W,,,,,102,0.04%,,,,,,
4300,South Carolina,SC,02,n/a,,,,,District Votes:,,"77,896",,,,"259,672",,,,,,,
4301,South Carolina,SC,,n/a,,,,,,,,,,,,,,,,,,
4302,South Carolina,SC,03,H0SC03077,,Jeff,Duncan,"Duncan, Jeff",,R,"19,051",23.08%,"37,352",51.49%,"126,235",62.46%,,,,,,
4303,South Carolina,SC,03,H0SC03093,,Richard,Cash,"Cash, Richard",,R,"20,923",25.35%,"35,185",48.51%,,,,,,,,
4304,South Carolina,SC,03,H0SC03101,,Rex,Rice,"Rice, Rex",,R,"16,071",19.47%,,,,,,,,,,
4305,South Carolina,SC,03,H0SC03135,,Joe,Grimaud,"Grimaud, Joe",,R,"15,503",18.78%,,,,,,,,,,
4306,South Carolina,SC,03,H0SC03127,,Neal,Collins,"Collins, Neal",,R,"6,787",8.22%,,,,,,,,,,
4307,South Carolina,SC,03,H0SC03069,,Frank Michael,Vasovski,"Vasovski, Frank Michael",,R,"4,216",5.11%,,,,,,,,,,
4308,South Carolina,SC,03,n/a,,,,,Party Votes:,R,"82,551",,"72,537",,,,,,,,,
4309,South Carolina,SC,03,H0SC03054,,Jane Ballard,Dyer,"Dyer, Jane Ballard",,,,,Combined Parties:,,,,"73,095",36.17%,,,,
4310,South Carolina,SC,03,H8SC03054,,Jane Ballard,Dyer,"Dyer, Jane Ballard",,D,"10,551",65.17%,,,"66,497",32.90%,,,,,,
4311,South Carolina,SC,03,H8SC03062,,"Brian ""Ryan B.""",Doyle,"Doyle, Brian ""Ryan B.""",,D,"5,639",34.83%,,,,,,,,,,
4312,South Carolina,SC,03,n/a,,,,,Party Votes:,D,"16,190",,,,,,,,,,,
4313,South Carolina,SC,03,H8SC03054,,Jane Ballard,Dyer,"Dyer, Jane Ballard",,WF,*,,,,"6,598",3.26%,,,"* The United Citizens Party nominated by convention on March 20, 2010, the Libertarian Party nominated by convention on April 17, 2010, and the Green Party nominated by convention on May 1, 2010.  The  Constitution, Independence, and Working Families parties nominated by convention on May 15, 2010.  Convention nominees are noted with an asterisk.",,,
4314,South Carolina,SC,03,H0SC03143,,John,Dalen,"Dalen, John",,CON,*,,,,"2,682",1.33%,,,"* The United Citizens Party nominated by convention on March 20, 2010, the Libertarian Party nominated by convention on April 17, 2010, and the Green Party nominated by convention on May 1, 2010.  The  Constitution, Independence, and Working Families parties nominated by convention on May 15, 2010.  Convention nominees are noted with an asterisk.",,,
4315,South Carolina,SC,03,n/a,,,Scattered,Scattered,,W,,,,,96,0.05%,,,,,,
4316,South Carolina,SC,03,n/a,,,,,District Votes:,,"98,741",,"72,537",,"202,108",,"73,095",36.17%,,,,
4317,South Carolina,SC,,n/a,,,,,,,,,,,,,,,,,,
4318,South Carolina,SC,04,H0SC04257,,Trey,Gowdy,"Gowdy, Trey",,R,"34,103",39.22%,"54,412",70.66%,"137,586",63.45%,,,,,,
4319,South Carolina,SC,04,H2SC04022,(I),Bob,Inglis,"Inglis, Bob",,R,"23,877",27.46%,"22,590",29.34%,,,,,,,,
4320,South Carolina,SC,04,H0SC04224,,Jim,Lee,"Lee, Jim",,R,"11,854",13.63%,,,,,,,,,,
4321,South Carolina,SC,04,H0SC04182,,David,Thomas,"Thomas, David",,R,"11,073",12.74%,,,,,,,,,,
4322,South Carolina,SC,04,H0SC04232,,Christina,Jeffrey,"Jeffrey, Christina",,R,"6,041",6.95%,,,,,,,,,,
4323,South Carolina,SC,04,n/a,,,,,Party Votes:,R,"86,948",,"77,002",,,,,,,,,
4324,South Carolina,SC,04,H8SC04177,,Paul,Corden,"Corden, Paul",,D,Unopposed,,,,"62,438",28.79%,,,,,,
4325,South Carolina,SC,04,H0SC04265,,Dave,Edwards,"Edwards, Dave",,CON,*,,,,"11,059",5.10%,,,"* The United Citizens Party nominated by convention on March 20, 2010, the Libertarian Party nominated by convention on April 17, 2010, and the Green Party nominated by convention on May 1, 2010.  The  Constitution, Independence, and Working Families parties nominated by convention on May 15, 2010.  Convention nominees are noted with an asterisk.",,,
4326,South Carolina,SC,04,H0SC04273,,Rick,Mahler,"Mahler, Rick",,LIB,*,,,,"3,010",1.39%,,,"* The United Citizens Party nominated by convention on March 20, 2010, the Libertarian Party nominated by convention on April 17, 2010, and the Green Party nominated by convention on May 1, 2010.  The  Constitution, Independence, and Working Families parties nominated by convention on May 15, 2010.  Convention nominees are noted with an asterisk.",,,
4327,South Carolina,SC,04,H6SC04130,,C. Faye,Walters,"Walters, C. Faye",,GRE,*,,,,"2,564",1.18%,,,"* The United Citizens Party nominated by convention on March 20, 2010, the Libertarian Party nominated by convention on April 17, 2010, and the Green Party nominated by convention on May 1, 2010.  The  Constitution, Independence, and Working Families parties nominated by convention on May 15, 2010.  Convention nominees are noted with an asterisk.",,,
4328,South Carolina,SC,04,n/a,,,Scattered,Scattered,,W,,,,,181,0.08%,,,,,,
4329,South Carolina,SC,04,n/a,,,,,District Votes:,,"86,948",,"77,002",,"216,838",,,,,,,
4330,South Carolina,SC,,n/a,,,,,,,,,,,,,,,,,,
4331,South Carolina,SC,05,H0SC05031,,Mick,Mulvaney,"Mulvaney, Mick",,R,Unopposed,,,,"125,834",55.12%,,,,,,
4332,South Carolina,SC,05,H2SC05052,(I),John,Spratt,"Spratt, John",,D,Unopposed,,,,"102,296",44.81%,,,,,,
4333,South Carolina,SC,05,n/a,,,Scattered,Scattered,,W,,,,,156,0.07%,,,,,,
4334,South Carolina,SC,05,n/a,,,,,District Votes:,,,,,,"228,286",,,,,,,
4335,South Carolina,SC,,n/a,,,,,,,,,,,,,,,,,,
4336,South Carolina,SC,06,H2SC02042,(I),"James E. ""Jim""",Clyburn,"Clyburn, James E. ""Jim""",,D,"50,138",90.07%,,,"125,459",62.86%,,,,,,
4337,South Carolina,SC,06,H0SC06187,,Gregory,Brown,"Brown, Gregory",,D,"5,527",9.93%,,,,,,,,,,
4338,South Carolina,SC,06,n/a,,,,,Party Votes:,D,"55,665",,,,,,,,,,,
4339,South Carolina,SC,06,H0SC06195,,Jim,Pratt,"Pratt, Jim",,R,"15,709",48.93%,"13,689",50.20%,"72,661",36.41%,,,,,,
4340,South Carolina,SC,06,H8SC06099,,Nancy,Harrelson,"Harrelson, Nancy",,R,"13,487",42.01%,"13,578",49.80%,,,,,,,,
4341,South Carolina,SC,06,H0SC06203,,Colleen,Payne,"Payne, Colleen",,R,"2,911",9.07%,,,,,,,,,,
4342,South Carolina,SC,06,n/a,,,,,Party Votes:,R,"32,107",,"27,267",,,,,,,,,
4343,South Carolina,SC,06,H0SC06211,,Nammu Y.,Muhammad,"Muhammad, Nammu Y.",,GRE,*,,,,"1,389",0.70%,,,"* The United Citizens Party nominated by convention on March 20, 2010, the Libertarian Party nominated by convention on April 17, 2010, and the Green Party nominated by convention on May 1, 2010.  The  Constitution, Independence, and Working Families parties nominated by convention on May 15, 2010.  Convention nominees are noted with an asterisk.",,,
4344,South Carolina,SC,06,n/a,,,Scattered,Scattered,,W,,,,,81,0.04%,,,,,,
4345,South Carolina,SC,06,n/a,,,,,District Votes:,,"87,772",,"27,267",,"199,590",,,,,,,
4346,South Carolina,SC,H,n/a,,,,,Total State Votes:,,"451,170",,"245,594",,"1,340,189",,,,,,,
4347,South Carolina,SC,,n/a,,,,,,,,,,,,,,,,,,
4348,South Carolina,SC,S,S4SC00083,(I),Jim,DeMint,"DeMint, Jim",,R,"342,464",82.99%,,,"810,771",61.48%,,,,,,
4349,South Carolina,SC,S,S0SC00206,,Susan McDonald,Gaddy,"Gaddy, Susan McDonald",,R,"70,194",17.01%,,,,,,,,,,
4350,South Carolina,SC,S,n/a,,,,,Party Votes:,R,"412,658",,,,,,,,,,,
4351,South Carolina,SC,S,S0SC00198,,Alvin M.,Greene,"Greene, Alvin M.",,D,"100,362",58.96%,,,"364,598",27.65%,,,,,,
4352,South Carolina,SC,S,S0SC00180,,Vic,Rawl,"Rawl, Vic",,D,"69,853",41.04%,,,,,,,,,,
4353,South Carolina,SC,S,n/a,,,,,Party Votes:,D,"170,215",,,,,,,,,,,
4354,South Carolina,SC,S,S0SC00214,,Tom,Clements,"Clements, Tom",,GRE,*,,,,"121,472",9.21%,,,"* The Green Party nominated by convention on May 1, 2010.  Convention nominee is noted with an asterisk.",,,
4355,South Carolina,SC,S,n/a,,,Scattered,Scattered,,W,,,,,"21,953",1.66%,,,,,,
4356,South Carolina,SC,S,n/a,,,,,Total State Votes:,,"582,873",,,,"1,318,794",,,,,,,
4357,,,,n/a,,,,,,,,,,,,,,,,,,
4358,South Dakota,SD,00,H0SD00054,,Kristi,Noem,"Noem, Kristi",,R,"34,527",42.09%,,,"153,703",48.12%,,,,,,
4359,South Dakota,SD,00,H0SD00039,,Chris,Nelson,"Nelson, Chris",,R,"28,380",34.59%,,,,,,,,,,
4360,South Dakota,SD,00,H0SD00021,,Blake,Curd,"Curd, Blake",,R,"19,134",23.32%,,,,,,,,,,
4361,South Dakota,SD,00,n/a,,,,,Party Votes:,R,"82,041",,,,,,,,,,,
4362,South Dakota,SD,00,H2SD00092,(I),Stephanie Herseth,Sandlin,"Sandlin, Stephanie Herseth",,D,Unopposed,,,,"146,589",45.89%,,,,,,
4363,South Dakota,SD,00,H0SD00070,,B. Thomas,Marking,"Marking, B. Thomas",,IND,,,,,"19,134",5.99%,,,,,,
4364,South Dakota,SD,00,n/a,,,,,District Votes:,,"82,041",,,,"319,426",,,,,,,
4365,South Dakota,SD,H,n/a,,,,,Total State Votes:,,"82,041",,,,"319,426",,,,,,,
4366,South Dakota,SD,,n/a,,,,,,,,,,,,,,,,,,
4367,South Dakota,SD,S,S2SD00068,(I),John R.,Thune,"Thune, John R.",,R,Unopposed,,,,"227,947",100.00%,,,,,,
4368,South Dakota,SD,S,n/a,,,,,Total State Votes:,,,,,,"227,947",,,,,,,
4369,,,,n/a,,,,,,,,,,,,,,,,,,
4370,Tennessee,TN,01,H6TN01388,(I),David Philip,Roe,"Roe, David Philip",,R,"78,862",,,,"123,006",80.84%,,,,,,
4371,Tennessee,TN,01,H6TN01487,,Mahmood (Michael),Sabri,"Sabri, Mahmood (Michael)",,R,"3,546",,,,,,,,,,,
4372,Tennessee,TN,01,n/a,,,,,Party Votes:,R,"82,408",,,,,,,,,,,
4373,Tennessee,TN,01,H0TN01027 ,,Michael Edward,Clark,"Clark, Michael Edward",,D,"9,012",,,,"26,045",17.12%,,,,,,
4374,Tennessee,TN,01,n/a,,,,,Party Votes:,D,"9,012",,,,,,,,,,,
4375,Tennessee,TN,01,H0TN01035,,Kermit E.,Steck,"Steck, Kermit E.",,IND,,,,,"3,110",2.04%,,,,,,
4376,Tennessee,TN,01,n/a,,,,,District Votes:,,"91,420",,,,"152,161",,,,,,,
4377,Tennessee,TN,,n/a,,,,,,,,,,,,,,,,,,
4378,Tennessee,TN,02,H8TN02069,(I),"John J., Jr.",Duncan,"Duncan, John J., Jr.",,R,"92,414",,,,"141,796",81.78%,,,,,,
4379,Tennessee,TN,02,n/a,,,,,Party Votes:,R,"92,414",,,,,,,,,,,
4380,Tennessee,TN,02,H0TN02058 ,,Dave,Hancock,"Hancock, Dave",,D,"9,778",,,,"25,400",14.65%,,,,,,
4381,Tennessee,TN,02,n/a,,,,,Party Votes:,D,"9,778",,,,,,,,,,,
4382,Tennessee,TN,02,H0TN02082,,"Joseph R., Jr.",Leinweber,"Leinweber, Joseph R., Jr.",,IND,,,,,"2,497",1.44%,,,,,,
4383,Tennessee,TN,02,H0TN02066 ,,D.H. (Andy),Andrew,"Andrew, D.H. (Andy)",,IND,,,,,"1,993",1.15%,,,,,,
4384,Tennessee,TN,02,H4TN02035,,Greg ,Samples,"Samples, Greg ",,IND,,,,,"1,185",0.68%,,,,,,
4385,Tennessee,TN,02,H0TN02074,,H. James,Headings,"Headings, H. James",,IND,,,,,509,0.29%,,,,,,
4386,Tennessee,TN,02,n/a,,,,,District Votes:,,"102,192",,,,"173,380",,,,,,,
4387,Tennessee,TN,,n/a,,,,,,,,,,,,,,,,,,
4388,Tennessee,TN,03,H0TH03254,,Chuck ,Fleischmann,"Fleischmann, Chuck ",,R,"26,869",,,,"92,032",56.79%,,,,,,
4389,Tennessee,TN,03,H0TN03296,,Robin,Smith,"Smith, Robin",,R,"25,454",,,,,,,,,,,
4390,Tennessee,TN,03,H0TN03213,,Tim,Gobble,"Gobble, Tim",,R,"14,274",,,,,,,,,,,
4391,Tennessee,TN,03,H0TN03270,,Van,Irion,"Irion, Van",,R,"10,492",,,,,,,,,,,
4392,Tennessee,TN,03,H0TN03288,,Tommy ,Crangle,"Crangle, Tommy ",,R,"5,149",,,,,,,,,,,
4393,Tennessee,TN,03,H0TN03239,,Art,Rhodes,"Rhodes, Art",,R,"4,552",,,,,,,,,,,
4394,Tennessee,TN,03,H4TN03165,,"Jean ""Lady J""",Howard-Hill,"Howard-Hill, Jean ""Lady J""",,R,"1,259",,,,,,,,,,,
4395,Tennessee,TN,03,H0TN03361,,Rick,Kernea,"Kernea, Rick",,R,739,,,,,,,,,,,
4396,Tennessee,TN,03,H0TN03353 ,,Harvey,Howard,"Howard, Harvey",,R,670,,,,,,,,,,,
4397,Tennessee,TN,03,H0TN03411,,"Basil, Sr.",Marceaux,"Marceaux, Basil, Sr.",,R,655,,,,,,,,,,,
4398,Tennessee,TN,03,H0TN03379,,Grover,Travillian,"Travillian, Grover",,,440,,,,,,,,,,,
4399,Tennessee,TN,03,n/a,,,,,Party Votes:,R,"90,553",,,,,,,,,,,
4400,Tennessee,TN,03,H0TN03346 ,,John ,Wolfe,"Wolfe, John ",,D,"7,006",,,,"45,387",28.01%,,,,,,
4401,Tennessee,TN,03,H0TN03312,,Brenda Freeman,Short,"Short, Brenda Freeman",,D,"4,530",,,,,,,,,,,
4402,Tennessee,TN,03,H0TN03338 ,,Brent Davis,Staton,"Staton, Brent Davis",,D,"3,814",,,,,,,,,,,
4403,Tennessee,TN,03,H0TN03320,,Alicia ,Mitchell,"Mitchell, Alicia ",,D,"2,647",,,,,,,,,,,
4404,Tennessee,TN,03,n/a,,"Larry J., Sr",Abeare,"Abeare, Larry J., Sr",,W(D),3,,,,,,,,,,,
4405,Tennessee,TN,03,n/a,,,,,Party Votes:,D,"18,000",,,,,,,,,,,
4406,Tennessee,TN,03,H0TN03403,,Savas T.,Kyriakidis,"Kyriakidis, Savas T.",,IND,,,,,"17,077",10.54%,,,,,,
4407,Tennessee,TN,03,H0TN03221,,Mark,DeVol,"DeVol, Mark",,IND,,,,,"5,773",3.56%,,,,,,
4408,Tennessee,TN,03,H0TN03429,,Don ,Barkman,"Barkman, Don ",,IND,,,,,811,0.50%,,,,,,
4409,Tennessee,TN,03,H0TN03387,,Gregory C.,Goodwin,"Goodwin, Gregory C.",,IND,,,,,380,0.23%,,,,,,
4410,Tennessee,TN,03,H0TN03395 ,,Robert ,Humphries,"Humphries, Robert ",,IND,,,,,380,0.23%,,,,,,
4411,Tennessee,TN,03,H0TN03304,,Mo,Kiah,"Kiah, Mo",,IND,,,,,216,0.13%,,,,,,
4412,Tennessee,TN,03,n/a,,,,,District Votes:,,"108,553",,,,"162,056",,,,,,,
4413,Tennessee,TN,,n/a,,,,,,,,,,,,,,,,,,
4414,Tennessee,TN,04,H0TN04195,,Scott,DesJarlais,"DesJarlais, Scott",,R,"27,812",,,,"103,969",57.07%,,,,,,
4415,Tennessee,TN,04,H0TN04203,,Jack,Bailey,"Bailey, Jack",,R,"20,420",,,,,,,,,,,
4416,Tennessee,TN,04,H8TN04057,,Kent,Greenough,"Greenough, Kent",,R,"11,413",,,,,,,,,,,
4417,Tennessee,TN,04,H0TN04229,,Ronald L. ,Harwell,"Harwell, Ronald L. ",,R,"9,237",,,,,,,,,,,
4418,Tennessee,TN,04,H6TN04176,,"Donald ""Don""",Strong,"Strong, Donald ""Don""",,R,"5,992",,,,,,,,,,,
4419,Tennessee,TN,04,n/a,,,,,Party Votes:,R,"74,874",,,,,,,,,,,
4420,Tennessee,TN,04,H4TN04203,(I),Lincoln,Davis,"Davis, Lincoln",,D,"41,573",,,,"70,254",38.56%,,,,,,
4421,Tennessee,TN,04,n/a,,,,,Party Votes:,D,"41,573",,,,,,,,,,,
4422,Tennessee,TN,04,H0TN04237,,Paul H.,Curtis,"Curtis, Paul H.",,IND,,,,,"3,178",1.74%,,,,,,
4423,Tennessee,TN,04,H0TN04252 ,,Gerald,York,"York, Gerald",,IND,,,,,"2,159",1.19%,,,,,,
4424,Tennessee,TN,04,H8TN04065,,James,Gray,"Gray, James",,IND,,,,,"1,714",0.94%,,,,,,
4425,Tennessee,TN,04,H0TN04245 ,,Richard S.,Johnson,"Johnson, Richard S.",,IND,,,,,917,0.50%,,,,,,
4426,Tennessee,TN,04,n/a,,,,,District Votes:,,"116,447",,,,"182,191",,,,,,,
4427,Tennessee,TN,,n/a,,,,,,,,,,,,,,,,,,
4428,Tennessee,TN,05 ,H2TN05131,(I),Jim,Cooper,"Cooper, Jim",,D,"28,660",,,,"99,162",56.23%,,,,,,
4429,Tennessee,TN,05,H0TN05200 ,,Eric,Pearson,"Pearson, Eric",,D,"2,214",,,,,,,,,,,
4430,Tennessee,TN,05,H0TN05218,,Eric,Schechter,"Schechter, Eric",,D,"1,213",,,,,,,,,,,
4431,Tennessee,TN,05,n/a,,,,,Party Votes:,D,"32,087",,,,,,,,,,,
4432,Tennessee,TN,05,H0TN05184,,David ,Hall,"Hall, David ",,R,"11,933",,,,"74,204",42.07%,,,,,,
4433,Tennessee,TN,05,H0TN05143,,Jeffery Alan,Hartline,"Hartline, Jeffery Alan",,R,"10,009",,,,,,,,,,,
4434,Tennessee,TN,05,H0TN05309,,CeCe,Heil,"Heil, CeCe",,R,"9,767",,,,,,,,,,,
4435,Tennessee,TN,05,H8TN05260,,Vijay ,Kumar,"Kumar, Vijay ",,R,"3,158",,,,,,,,,,,
4436,Tennessee,TN,05,H0TN05226 ,,Bob ,Schwartz,"Schwartz, Bob ",,R,"2,375",,,,,,,,,,,
4437,Tennessee,TN,05,H0TN05168,,Lonnie ,Spivak,"Spivak, Lonnie ",,R,"1,530",,,,,,,,,,,
4438,Tennessee,TN,05,H0TN05168,,Jarod D.,Scott,"Scott, Jarod D.",,R,"1,385",,,,,,,,,,,
4439,Tennessee,TN,05,H0TN05127,,Patrick ,Miranda,"Miranda, Patrick ",,R,"1,212",,,,,,,,,,,
4440,Tennessee,TN,05,H0TN05242 ,,Tracy C.,Tarum,"Tarum, Tracy C.",,R,"1,129",,,,,,,,,,,
4441,Tennessee,TN,05,H0TN05150,,Bob ,Ries,"Ries, Bob ",,R,562,,,,,,,,,,,
4442,Tennessee,TN,05,H0TN05234,,Alvin M.,Strauss,"Strauss, Alvin M.",,R,319,,,,,,,,,,,
4443,Tennessee,TN,05,n/a,,,,,Party Votes:,R,"43,379",,,,,,,,,,,
4444,Tennessee,TN,05,H0TN05101,,Stephen W. ,Collings,"Collings, Stephen W. ",,IND,,,,,584,0.33%,,,,,,
4445,Tennessee,TN,05,H0TN05275 ,,"John ""Big John""",Smith,"Smith, John ""Big John""",,IND,,,,,533,0.30%,,,,,,
4446,Tennessee,TN,05,H0TN05119,,Jackie ,Miller,"Miller, Jackie ",,IND,,,,,444,0.25%,,,,,,
4447,Tennessee,TN,05,H8TN05252,,John P.,Miglietta,"Miglietta, John P.",,IND,,,,,396,0.22%,,,,,,
4448,Tennessee,TN,05,H0TN05259 ,,Bill ,Crook,"Crook, Bill ",,IND,,,,,391,0.22%,,,,,,
4449,Tennessee,TN,05,H0TN05291,,"James G., II",Whitfield,"Whitfield, James G., II",,IND,,,,,333,0.19%,,,,,,
4450,Tennessee,TN,05,H0TN05267 ,,"Joe D., Jr.",Moore,"Moore, Joe D., Jr.",,IND,,,,,159,0.09%,,,,,,
4451,Tennessee,TN,05,H0TN05283 ,,Clark ,Taylor,"Taylor, Clark ",,IND,,,,,156,0.09%,,,,,,
4452,Tennessee,TN,05,n/a,,,,,District Votes:,,"75,466",,,,"176,362",,,,,,,
4453,Tennessee,TN,,n/a,,,,,,,,,,,,,,,,,,
4454,Tennessee,TN,06,H0TN06257,,Diane ,Black,"Black, Diane ",,R,"24,374",,,,"128,517",67.26%,,,,,,
4455,Tennessee,TN,06,H0TN06224,,Lou Ann,Zelenik,"Zelenik, Lou Ann",,R,"24,091",,,,,,,,,,,
4456,Tennessee,TN,06,H0TN06240,,Jim ,Tracy,"Tracy, Jim ",,R,"23,808",,,,,,,,,,,
4457,Tennessee,TN,06,H0TN06208,,Dave ,Evans,"Evans, Dave ",,R,"3,974",,,,,,,,,,,
4458,Tennessee,TN,06,H0TN06216,,Kerry E.,Roberts,"Roberts, Kerry E.",,R,"2,482",,,,,,,,,,,
4459,Tennessee,TN,06,H0TN06323,,Bruce ,McLellan,"McLellan, Bruce ",,R,695,,,,,,,,,,,
4460,Tennessee,TN,06,H0TN06216,,Gary Dewitt ,Mann,"Mann, Gary Dewitt ",,R,465,,,,,,,,,,,
4461,Tennessee,TN,06,n/a,,,,,Party Votes:,R,"79,889",,,,,,,,,,,
4462,Tennessee,TN,06,H0TN06273,,Brett ,Carter,"Carter, Brett ",,D,"9,430",,,,"56,145",29.38%,,,,,,
4463,Tennessee,TN,06,H0TN06281,,Ben,Leming,"Leming, Ben",,D,"9,208",,,,,,,,,,,
4464,Tennessee,TN,06,H0TN06307,,Henry Clay,Barry,"Barry, Henry Clay",,D,"8,917",,,,,,,,,,,
4465,Tennessee,TN,06,H0TN06315 ,,Devora E.,Butler,"Butler, Devora E.",,D,"2,777",,,,,,,,,,,
4466,Tennessee,TN,06,H0TN06265,,George T.,Erdel,"Erdel, George T.",,D,817,,,,,,,,,,,
4467,Tennessee,TN,06,n/a,,,,,Party Votes:,D,"31,149",,,,,,,,,,,
4468,Tennessee,TN,06,H0TN06331,,Jim ,Boyd,"Boyd, Jim ",,IND,,,,,"2,157",1.13%,,,,,,
4469,Tennessee,TN,06,H0TN06349 ,,David ,Purcell,"Purcell, David ",,IND,,,,,"1,296",0.68%,,,,,,
4470,Tennessee,TN,06,H0TN04211,,Tommy N. ,Hay,"Hay, Tommy N. ",,IND,,,,,"1,270",0.66%,,,,,,
4471,Tennessee,TN,06,H0TN06299,,Brandon E.,Gore,"Gore, Brandon E.",,IND,,,,,"1,103",0.58%,,,,,,
4472,Tennessee,TN,06,H0TN06356,,Stephen R. ,Sprague,"Sprague, Stephen R. ",,IND,,,,,596,0.31%,,,,,,
4473,Tennessee,TN,06,n/a,,,,,District Votes:,,"111,038",,,,"191,084",,,,,,,
4474,Tennessee,TN,,n/a,,,,,,,,,,,,,,,,,,
